"","PWSID","PWS_NAME","NPM_CANDIDATE","PRIMACY_AGENCY_CODE","EPA_REGION","SEASON_BEGIN_DATE","SEASON_END_DATE","PWS_ACTIVITY_CODE","PWS_DEACTIVATION_DATE","PWS_TYPE_CODE","CDS_ID","GW_SW_CODE","OWNER_TYPE_CODE","POPULATION_SERVED_COUNT","PRIMACY_TYPE","PRIMARY_SOURCE_CODE","IS_GRANT_ELIGIBLE_IND","IS_WHOLESALER_IND","IS_SCHOOL_OR_DAYCARE_IND","SERVICE_CONNECTIONS_COUNT","SUBMISSION_STATUS_CODE","ORG_NAME","CITY_NAME","ZIP_CODE","STATE_CODE","SOURCE_WATER_PROTECTION_CODE","SOURCE_PROTECTION_BEGIN_DATE","OUTSTANDING_PERFORMER","OUTSTANDING_PERFORM_BEGIN_DATE","CITIES_SERVED","COUNTIES_SERVED","PWSID_STATE"
"8605","PA5100088","FLEMING MOBILE HOME PARK","N","PA","3","","","I","23-OCT-13","CWS",NA,"GW","P","24","State","GW","N","N","N","20","Y","FLEMING MOBILE HOME PARK","WEST SUNBURY","16061","PA","","","","","Not Reported","Butler","PA"
"8606","PA5100089","ALLEGHENY VALLEY SCHOOL","N","PA","3","01-01","12-31","I","01-JUN-81","CWS",NA,"GW","P","30","State","GW","N","N","N","2","Y","","W. SUNBURY","16061","PA","","","","","Not Reported","Butler","PA"
"8607","PA5100090","WINFIELD TWP PENN-DIXIE CEMENT","N","PA","3","","","I","28-AUG-78","CWS",NA,"GW","P","60","State","GW","N","N","N","20","Y","","WEST WINFIELD VILLAG","16062","PA","","","","","Not Reported","Butler","PA"
"8608","PA5100091","OAK SPRINGS","N","PA","3","","","I","28-MAY-81","CWS",NA,"GW","P","290","State","GW","N","N","N","139","Y","","ZELIENOPLE","16063","PA","","","","","Not Reported","Butler","PA"
"8609","PA5100092","FOUST TRAILER COURT","N","PA","3","","","I","17-MAR-88","CWS",NA,"GW","P","49","State","GW","N","N","N","14","Y","","ZELIENOPLE","16063","PA","","","","","Not Reported","Butler","PA"
"8610","PA5100095","WEST PA WATER CO-BUTLER DIST","N","PA","3","01-01","12-31","I","01-MAY-78","CWS",NA,"SW","P","35700","State","SW","N","N","N","0","Y","","BUTLER","16001","PA","","","","","Not Reported","Butler","PA"
"8613","PA4410001","JOHNSON FARMS TRAILER PARK","N","PA","3","","","I","09-NOV-78","CWS",NA,"GW","P","20","State","GW","N","N","N","8","Y","","WILLIAMSPORT","17701","PA","","","","","Not Reported","Lycoming","PA"
"8614","PA4410003","SCHMOHL MOBILE HOME PARK","N","PA","3","","","I","16-JUN-87","CWS",NA,"GW","P","50","State","GW","N","N","N","14","Y","","COGAN STATION","17728","PA","","","","","Not Reported","Lycoming","PA"
"8615","PA4410004","MOUNTAINVIEW ESTATES MHP","N","PA","3","","","I","09-JUN-03","CWS",NA,"GW","P","35","State","GW","N","N","N","22","Y","","WILLIAMSPORT","17701","PA","","","","","Not Reported","Lycoming","PA"
"8616","PA4410006","SHANNONS TRAILER PARK","N","PA","3","","","I","14-DEC-87","CWS",NA,"GW","P","140","State","GW","N","N","N","35","Y","","COGAN STATION","17728","PA","","","","","Not Reported","Lycoming","PA"
"8617","PA4410008","DEERFOOT MOBILE HOME PARK","N","PA","3","","","I","23-JAN-96","CWS",NA,"GW","P","61","State","GW","N","N","N","30","Y","","MONTOURSVILLE","17754","PA","","","","","Not Reported","Lycoming","PA"
"8618","PA4410009","BROWNS TRAILER PARK","N","PA","3","","","I","19-MAY-86","CWS",NA,"GW","P","28","State","GW","N","N","N","8","Y","","COGAN STATION","17728","PA","","","","","Not Reported","Lycoming","PA"
"8619","PA4410012","STETTS TRAILER PARK","N","PA","3","01-01","12-31","I","01-NOV-79","CWS",NA,"GW","P","67","State","GW","N","N","N","19","Y","","WILLIAMSPORT","17701","PA","","","","","Not Reported","Lycoming","PA"
"8620","PA4410013","ALBIES ACRES","N","PA","3","","","I","22-MAY-80","CWS",NA,"GW","P","60","State","GW","N","N","N","24","Y","","WILLIAMSPORT","17701","PA","","","","","Not Reported","Lycoming","PA"
"8622","PA5100115","HIDDEN ACRES MOBILE HOME PARK","N","PA","3","","","I","30-SEP-87","CWS",NA,"GW","P","100","State","GW","N","N","N","50","Y","","SARVER","16055","PA","","","","","Not Reported","Butler","PA"
"8623","PA5100116","FIVE OAKS MOBILE HOME PARK","N","PA","3","","","I","18-JAN-08","CWS",NA,"GW","P","24","State","GW","N","N","N","11","Y","FIVE OAKS MOBILE HOME PARK","HILLIARDS","16040","PA","","","","","Not Reported","Butler","PA"
"8624","PA5100117","HORNERTOWN WATER WORKS","N","PA","3","","","I","01-JUN-86","CWS",NA,"GW","P","26","State","GW","N","N","N","12","Y","","PETROLIA","16050","PA","","","","","PETROLIA","Butler","PA"
"8625","PA5100118","WHITCO CHEMICAL COMPANY","N","PA","3","01-01","12-31","I","01-NOV-82","CWS",NA,"GW","P","500","State","GW","N","N","N","58","Y","","PETROLIA","16050","PA","","","","","Not Reported","Butler","PA"
"8626","PA5100119","ARC ACRES A A GROUP","N","PA","3","01-01","12-31","I","01-NOV-80","CWS",NA,"GW","P","42","State","GW","N","N","N","8","Y","","MARS","16046","PA","","","","","Not Reported","Butler","PA"
"8627","PA5100120","FENELTON WATER ASSOCIATION","N","PA","3","","","I","28-AUG-07","CWS",NA,"GW","P","17","State","GW","N","N","N","23","Y","FENELTON WATER ASSOCIATION","FENELTON","16034","PA","","","","","Not Reported","Butler","PA"
"8628","PA5100121","SUMMIT ACADEMY","N","PA","3","","","I","03-JAN-18","CWS",NA,"GW","P","350","State","GW","N","N","N","4","Y","SUMMIT ACADEMY","HERMAN","16039","PA","","","","","Not Reported","Butler","PA"
"8629","PA5100123","SUMMIT TOWNSHIP MUN. AUTH.","N","PA","3","","","I","06-NOV-86","CWS",NA,"SW","L","25","State","SWP","N","N","N","109","Y","","BUTLER","16001","PA","","","","","Not Reported","Butler","PA"
"8630","PA5100124","CENTER TOWNSHIP WATER DEPT","N","PA","3","","","I","30-DEC-99","CWS",NA,"SW","L","2412","State","SWP","N","N","N","847","Y","","BUTLER","16001","PA","","","","","Not Reported","Butler","PA"
"8631","PA5100125","PINE HAVEN HOME INC","N","PA","3","","","I","27-MAR-18","CWS",NA,"GW","P","20","State","GW","N","N","N","5","Y","PINE HAVEN HOME INC","FENELTON","16034","PA","","","","","Not Reported","Butler","PA"
"8632","PA5100128","TREESDALE ORCHARD INC","N","PA","3","","","I","17-FEB-88","CWS",NA,"GW","P","50","State","GW","N","N","N","6","Y","","MARS","16046","PA","","","","","Not Reported","Butler","PA"
"8633","PA5100129","HOUTZS PERSONAL CARE HOME","N","PA","3","","","I","23-FEB-05","CWS",NA,"GW","P","21","State","GW","N","N","N","1","Y","","BUTLER","16002","PA","","","","","Not Reported","Butler","PA"
"8634","PA5100130","ROCK LAKE WATER SYSTEM","N","PA","3","","","I","31-MAR-12","CWS",NA,"GW","P","350","State","GW","N","N","N","153","Y","ROCK LAKE WATER SYSTEM","ZELIENOPLE","16063","PA","","","","","Not Reported","Butler","PA"
"8635","PA5100131","GREENWOOD MANOR PCH","N","PA","3","","","I","29-MAR-04","CWS",NA,"GW","P","30","State","GW","N","N","N","1","Y","","BUTLER","16002","PA","","","","","Not Reported","Butler","PA"
"8636","PA5100134","ADAMS RIDGE INC.","N","PA","3","","","I","01-JAN-02","CWS",NA,"GW","P","700","State","GW","N","N","N","250","Y","","MARS","16046","PA","","","","","Not Reported","Butler","PA"
"8637","PA5100136","OUTLOOK POINTE COMMONS SARVER","N","PA","3","","","I","30-MAR-07","CWS",NA,"GW","P","48","State","GW","N","N","N","2","Y","OUTLOOK POINTE COMMONS SARVER","SARVER","16055","PA","","","","","Not Reported","Butler","PA"
"8638","PA5100137","OUTLOOK POINTE AT BUTLER","N","PA","3","","","I","15-MAY-06","CWS",NA,"GW","M","50","State","GW","N","N","N","1","Y","OUTLOOKPOINTEATBUTLER","BUTLER","16001","PA","","","","","Not Reported","Butler","PA"
"8639","PA5100138","BONNIE BROOK PERS CARE HOME","N","PA","3","","","I","11-MAY-06","CWS",NA,"GW","P","4","State","GW","N","N","N","1","Y","BONNIEBROOKPERSCAREHOME","CABOTBURGH","16023","PA","","","","","Not Reported","Butler","PA"
"8640","PA5100139","PETER RABBIT CAMPGROUND","N","PA","3","","","I","22-MAR-01","CWS",NA,"GW","P","250","State","GW","N","N","N","15","Y","","BUTLER","16001","PA","","","","","Not Reported","Butler","PA"
"8641","PA5100144","ABBEY WOODS DEVELOPMENT","N","PA","3","","","I","14-JUL-15","CWS",NA,"GW","M","132","State","GW","N","N","N","54","Y","ABBEY WOODS DEVELOPMENT","PITTSBURGH","15229","PA","","","","","Not Reported","Butler","PA"
"8647","PA4410050","SMITH'S MOBILE HOME PARK","N","PA","3","","","I","27-SEP-96","CWS",NA,"GW","P","50","State","GW","N","N","N","1","Y","","LINDEN","17744","PA","","","","","Not Reported","Lycoming","PA"
"8648","PA4410051","TORBET WATER ASSOC.","N","PA","3","","","I","27-SEP-96","CWS",NA,"GW","P","86","State","GW","N","N","N","1","Y","","JERSEY SHORE","17740","PA","","","","","Not Reported","Lycoming","PA"
"8658","PA5100325","FIVE OAKS TRAILER COURT","N","PA","3","01-01","12-31","I","01-JUN-79","CWS",NA,"GW","P","35","State","GW","N","N","N","11","Y","","HILLIARDS","16040","PA","","","","","Not Reported","Butler","PA"
"8703","PA5100380","ARC ACRES A GROUP","N","PA","3","01-01","12-31","I","01-JUN-79","CWS",NA,"GW","P","42","State","GW","N","N","N","8","Y","","MARS","16046","PA","","","","","Not Reported","Butler","PA"
"8746","PA4410155","BARTOS TRAILER COURT","N","PA","3","","","I","22-NOV-04","CWS",NA,"GW","P","66","State","GW","N","N","N","35","Y","","HUGHESVILLE","17737","PA","","","","","Not Reported","Lycoming","PA"
"8747","PA4410157","ADAMS MOBILE HOME PARK","N","PA","3","","","I","31-OCT-86","CWS",NA,"GW","P","26","State","GW","N","N","N","10","Y","","WILLIAMSPORT","17701","PA","","","","","Not Reported","Lycoming","PA"
"8773","PA4410307","BUNK HOUSE MOBILE HOME PARK","N","PA","3","","","I","16-FEB-79","CWS",NA,"GW","P","18","State","GW","N","N","N","12","Y","","WILLIAMSPORT","17701","PA","","","","","Not Reported","Lycoming","PA"
"8775","PA4410310","MOUNTAIN VIEW TRAILER PARK","N","PA","3","","","I","24-JUN-79","CWS",NA,"GW","P","87","State","GW","N","N","N","29","Y","","JERSEY SHORE","17740","PA","","","","","Not Reported","Lycoming","PA"
"8777","PA4410312","HESS TRAILER COURT","N","PA","3","","","I","28-DEC-78","CWS",NA,"GW","P","150","State","GW","N","N","N","77","Y","","HUGHESVILLE","17727","PA","","","","","Not Reported","Lycoming","PA"
"8812","PA4550029","PENN TWP M A HARRIS ESTATES","N","PA","3","","","I","25-APR-00","CWS",NA,"GW","L","85","State","GWP","N","N","N","29","Y","","SELINSGROVE","17870","PA","","","","","Not Reported","Snyder","PA"
"8813","PA4550030","CHURCH HILL ESTATES","N","PA","3","","","I","26-JUN-06","CWS",NA,"GW","P","21","State","GW","N","N","N","15","Y","CHURCHHILLESTATES","MT PLEASANT MILLS","17853","PA","","","","","Not Reported","Snyder","PA"
"8949","PA4310008","FRANKLINVILLE WATER CO","N","PA","3","","","I","01-NOV-89","CWS",NA,"SW","P","67","State","SW","N","N","N","25","Y","","SPRUCE CREEK","16683","PA","","","","","Not Reported","Huntingdon","PA"
"8950","PA4310009","COLERAIN WATER CO","N","PA","3","","","I","01-FEB-80","CWS",NA,"GW","P","49","State","GW","N","N","N","14","Y","","FRANKLINVILLE","16683","PA","","","","","Not Reported","Huntingdon","PA"
"8952","PA4310013","CHERRYTOWN WATER ASSOC.","N","PA","3","","","I","01-JUL-88","CWS",NA,"GW","P","40","State","GW","N","N","N","21","Y","","JAMES CREEK","16657","PA","","","","","Not Reported","Huntingdon","PA"
"8953","PA4310018","OTT MOBILEHOME PARK","N","PA","3","","","I","01-JAN-85","CWS",NA,"GW","P","28","State","GW","N","N","N","8","Y","","ORBISONIA","17243","PA","","","","","Not Reported","Huntingdon","PA"
"8954","PA4310020","TELL TWP-GENERAL AUTHORITY","N","PA","3","01-01","12-31","I","01-SEP-78","CWS",NA,"GW","L","70","State","GW","N","N","N","0","Y","","BLAIRSVILLE","15717","PA","","","","","Not Reported","Huntingdon","PA"
"8956","PA4310029","BLAIRS MILLS WATER WORKS","N","PA","3","01-01","12-31","I","01-MAY-78","CWS",NA,"SW","P","70","State","SW","N","N","N","0","Y","","BLAIRS MILLS","17213","PA","","","","","Not Reported","Huntingdon","PA"
"8957","PA4310033","MILL STONE MHP","N","PA","3","","","I","04-AUG-98","CWS",NA,"GW","P","50","State","GW","N","N","N","22","Y","","HUNTINGTON","16652","PA","","","","","Not Reported","Huntingdon","PA"
"8966","PA6610045","COUNTRY ACRES PERSONAL CARE","Y","PA","3","","","A","","CWS",NA,"GW","P","38","State","GW","Y","N","N","1","Y","COUNTRY ACRES PERSONAL CARE","TITUSVILLE","16354","PA","","","","","Not Reported","Venango","PA"
"9014","PA6530001","NORTHERN TIER CHILDRENS HOME","Y","PA","3","","","A","","CWS",NA,"GW","M","45","State","GW","Y","N","N","3","Y","NORTHERN TIER CHILDRENS HOME","HARRISON VALLEY","16927","PA","","","","","Not Reported","Potter","PA"
"9015","PA6530005","AUSTIN BOROUGH WATER","Y","PA","3","","","A","","CWS",NA,"SW","L","720","State","GU","Y","N","N","261","Y","AUSTIN BOROUGH WATER","AUSTIN","16720","PA","","","","","Not Reported","Potter","PA"
"9049","PA6530006","ULYSSES MUNICIPAL AUTHORITY","Y","PA","3","","","A","","CWS",NA,"GW","L","640","State","GW","Y","N","N","222","Y","ULYSSES MUNICIPAL AUTHORITY","ULYSSES","16948","PA","","","","","Not Reported","Potter","PA"
"9050","PA6530007","ROULETTE TWP WATER AUTHORITY","Y","PA","3","","","A","","CWS",NA,"GW","P","1300","State","GW","Y","N","N","451","Y","ROULETTE TWP WATER AUTHORITY","ROULETTE","16746","PA","","","","","Not Reported","Potter","PA"
"9051","PA6530009","COUDERSPORT BORO AUTHORITY","Y","PA","3","","","A","","CWS",NA,"GW","L","3400","State","GW","Y","N","N","1100","Y","COUDERSPORT BORO AUTHORITY","COUDERSPORT","16915","PA","","","","","Not Reported","Potter","PA"
"9052","PA6530010","GALETON BORO WATER AUTHORITY","Y","PA","3","","","A","","CWS",NA,"SW","L","1200","State","SW","Y","N","N","598","Y","GALETON BORO WATER AUTHORITY","GALETON","16922","PA","","","","","Not Reported","Potter","PA"
"9053","PA6530011","GENESEE TWP WATER AUTHORITY","Y","PA","3","","","A","","CWS",NA,"SW","L","450","State","GU","Y","N","N","166","Y","GENESEE TWP WATER AUTHORITY","GENESEE","16923","PA","","","","","Not Reported","Potter","PA"
"9054","PA6530013","SHINGLEHOUSE BORO WATER DEPT","Y","PA","3","","","A","","CWS",NA,"GW","L","1250","State","GW","Y","N","N","521","Y","SHINGLEHOUSE BORO WATER DEPT","SHINGLEHOUSE","16748","PA","","","","","Not Reported","Potter","PA"
"9055","PA6530015","CHARLES COLE MEMORIAL HOSPITAL","Y","PA","3","","","A","","CWS",NA,"GW","P","60","State","GW","Y","N","N","4","Y","CHARLES COLE MEMORIAL HOSPITAL","COUDERSPORT","16915","PA","","","","","Not Reported","Potter","PA"
"9130","PA6250064","UNION CITY MUNICIPAL AUTHORITY","Y","PA","3","","","A","","CWS",NA,"SW","L","3623","State","SW","Y","N","N","1246","Y","UNION CITY MUNICIPAL AUTHORITY","UNION CITY","16438","PA","","","","","Not Reported","Erie","PA"
"9131","PA6250065","WATERFORD MUNICIPAL AUTHORITY","Y","PA","3","","","A","","CWS",NA,"GW","L","1600","State","GW","Y","N","N","622","Y","WATERFORD MUNICIPAL AUTHORITY","WATERFORD","16441","PA","","","","","Not Reported","Erie","PA"
"9132","PA6250067","HICKORY HILL COUNTRY VILLAGE","Y","PA","3","","","A","","CWS",NA,"GW","P","375","State","GW","Y","N","N","134","Y","HICKORY HILL COUNTRY VILLAGE","GIRARD","16417","PA","","","","","Not Reported","Erie","PA"
"9133","PA6250070","COLONY WATER ASSOCIATION","Y","PA","3","","","A","","CWS",NA,"SW","P","115","State","SWP","Y","N","N","44","Y","COLONY WATER ASSOCIATION","ERIE","16505","PA","","","","","Not Reported","Erie","PA"
"9134","PA6250074","SUNNYDALE SUBDIVISION","Y","PA","3","","","A","","CWS",NA,"GW","P","60","State","GW","Y","N","N","23","Y","SUNNYDALE SUBDIVISION","FAIRVIEW","16415","PA","","","","","Not Reported","Erie","PA"
"9135","PA6250075","MILLFAIR HEIGHTS WATER SYSTEM","Y","PA","3","","","A","","CWS",NA,"GW","P","390","State","GW","Y","N","N","188","Y","MILLFAIR HEIGHTS WATER SYSTEM","ERIE","16505","PA","","","","","Not Reported","Erie","PA"
"9136","PA6250077","GREENE TOWNSHIP WATER SYSTEM","Y","PA","3","","","A","","CWS",NA,"GW","L","98","State","GW","Y","N","N","49","Y","GREENE TOWNSHIP WATER SYSTEM","ERIE","16509","PA","","","","","Not Reported","Erie","PA"
"9137","PA6250078","CRANESVILLE WATER DEPARTMENT","Y","PA","3","","","A","","CWS",NA,"GW","L","653","State","GWP","Y","N","N","251","Y","CRANESVILLE WATER DEPARTMENT","CRANESVILLE","16410","PA","","","","","Not Reported","Erie","PA"
"9138","PA6250086","NORTH EAST TOWNSHIP WATER","Y","PA","3","","","A","","CWS",NA,"SW","L","2684","State","SWP","Y","N","N","1250","Y","NORTH EAST TOWNSHIP WATER","NORTH EAST","16428","PA","","","","","Not Reported","Erie","PA"
"9139","PA6250087","FAIRVIEW TWP WATER AUTHORITY","Y","PA","3","","","A","","CWS",NA,"SW","L","4100","State","SWP","Y","N","N","1573","Y","FAIRVIEW TWP WATER AUTHORITY","FAIRVIEW","16415","PA","","","","","Not Reported","Erie","PA"
"9140","PA6250089","RAINBOW VALLEY MOBILE HOME","Y","PA","3","","","A","","CWS",NA,"GW","P","450","State","GW","Y","N","N","158","Y","RAINBOW VALLEY MOBILE HOME","FAIRVIEW","16415","PA","","","","","Not Reported","Erie","PA"
"9141","PA6250090","SUMMIT TOWNSHIP WATER AUTHORIT","Y","PA","3","","","A","","CWS",NA,"SW","L","12226","State","SWP","Y","N","N","2162","Y","SUMMIT TOWNSHIP WATER AUTHORIT","ERIE","16509","PA","","","","","Not Reported","Erie","PA"
"9142","PA6250092","WASHINGTON TWP WATER SYSTEM","Y","PA","3","","","A","","CWS",NA,"GW","L","765","State","GW","Y","N","N","180","Y","WASHINGTON TWP WATER SYSTEM","EDINBORO","16412","PA","","","","","Not Reported","Erie","PA"
"9143","PA6250094","WATTSBURG BORO WTP","Y","PA","3","","","A","","CWS",NA,"GW","L","450","State","GW","Y","N","N","165","Y","WATTSBURG BORO WTP","WATTSBURG","16442","PA","","","","","Not Reported","Erie","PA"
"9154","PA7280045","FRANKLIN CO GEN AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","4400","State","SW","Y","N","N","160","Y","FRANKLIN CO GEN AUTH","CHAMBERSBURG","17201","PA","","","","","Not Reported","Franklin","PA"
"9155","PA7280046","EDENVILLE WATER ASSN INC","Y","PA","3","","","A","","CWS",NA,"GW","P","491","State","GW","Y","N","N","164","Y","EDENVILLE WATER ASSN INC","ST THOMAS","17252","PA","","","","","Not Reported","Franklin","PA"
"9156","PA7280047","VALLEY VIEW MANOR MHP","Y","PA","3","","","A","","CWS",NA,"GW","P","130","State","GW","Y","N","N","42","Y","VALLEY VIEW MANOR MHP","GREENCASTLE","17225","PA","","","","","Not Reported","Franklin","PA"
"9157","PA7280053","MOUNT ROCK MANOR","Y","PA","3","","","A","","CWS",NA,"GW","P","350","State","GW","Y","N","N","139","Y","MOUNT ROCK MANOR","SHIPPENSBURG","17257","PA","","","","","Not Reported","Franklin","PA"
"9158","PA7280055","INDIAN LAKE CAMP CORP","Y","PA","3","","","A","","CWS",NA,"GW","P","125","State","GW","Y","N","N","83","Y","INDIAN LAKE CAMP CORP","FANNETTSBURG","17221","PA","","","","","Not Reported","Franklin","PA"
"9193","PA6170003","ANSONVILLE WATER AUTHORITY","Y","PA","3","","","A","","CWS",NA,"SW","L","38","State","GU","Y","N","N","18","Y","ANSONVILLE WATER AUTHORITY","IRVONA","16656","PA","","","","","Not Reported","Clearfield","PA"
"9194","PA6170004","BURNSIDE BORO WATER SYSTEM","Y","PA","3","","","A","","CWS",NA,"GW","L","325","State","GW","Y","N","N","128","Y","BURNSIDE BORO WATER SYSTEM","BURNSIDE","15721","PA","","","","","Not Reported","Clearfield","PA"
"9195","PA6250061","NORTH EAST BOROUGH WATER DEPT","Y","PA","3","","","A","","CWS",NA,"SW","L","4601","State","SW","Y","N","N","1726","Y","NORTH EAST BOROUGH WATER DEPT","NORTH EAST","16428","PA","","","","","Not Reported","Erie","PA"
"9222","PA6430042","GRANDVIEW ACRES MHP","Y","PA","3","","","A","","CWS",NA,"GW","P","35","State","GW","Y","N","N","31","Y","GRANDVIEW ACRES MHP","WEST MIDDLESEX","16159","PA","","","","","Not Reported","Mercer","PA"
"9223","PA6430043","JAMESTOWN BORO WATER AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","690","State","GW","Y","N","N","312","Y","JAMESTOWN BORO WATER AUTH","JAMESTOWN","16134","PA","","","","","Not Reported","Mercer","PA"
"9224","PA6430046","PINE GROVE MOBILE HOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","247","State","GW","Y","N","N","106","Y","PINE GROVE MOBILE HOME PARK","MEDIA","19063","PA","","","","","Not Reported","Mercer","PA"
"9225","PA6430047","WILLOW BEND MHP","Y","PA","3","","","A","","CWS",NA,"GW","P","21","State","GW","Y","N","N","27","Y","WILLOW BEND MHP","MERCER","16137","PA","","","","","Not Reported","Mercer","PA"
"9226","PA6430049","BUHL COMMUNITY WATER COMPANY","Y","PA","3","","","A","","CWS",NA,"GW","P","2227","State","GW","Y","N","N","81","Y","BUHL COMMUNITY WATER COMPANY","MERCER","16137","PA","","","","","Not Reported","Mercer","PA"
"9227","PA6430052","SANDY LAKE BORO","Y","PA","3","","","A","","CWS",NA,"GW","L","1100","State","GW","Y","N","N","350","Y","SANDY LAKE BORO","SANDY LAKE","16145","PA","","","","","Not Reported","Mercer","PA"
"9228","PA6430054","AQUA PA SHENANGO VALLEY WTP","Y","PA","3","","","A","","CWS",NA,"SW","P","48000","State","SW","Y","N","N","16178","Y","AQUA PA SHENANGO VALLEY WTP","SHARON","16146","PA","","","","","Not Reported","Mercer","PA"
"9229","PA6430055","SHARPSVILLE BORO WATER CO","Y","PA","3","","","A","","CWS",NA,"SW","L","5310","State","SWP","Y","N","N","2022","Y","SHARPSVILLE BORO WATER CO","SHARPSVILLE","16150","PA","","","","","Not Reported","Mercer","PA"
"9230","PA6430056","STONEBORO WATER WORKS","Y","PA","3","","","A","","CWS",NA,"GW","L","1104","State","GW","Y","N","N","454","Y","STONEBORO WATER WORKS","STONEBORO","16153","PA","","","","","Not Reported","Mercer","PA"
"9231","PA6430057","REYNOLDS WATER COMPANY","Y","PA","3","","","A","","CWS",NA,"SW","P","2370","State","SW","Y","N","N","692","Y","REYNOLDS WATER COMPANY","GREENVILLE","16125","PA","","","","","Not Reported","Mercer","PA"
"9232","PA6430059","AQUA PA LAKE LATONKA WTP","Y","PA","3","","","A","","CWS",NA,"GW","P","1400","State","GW","Y","N","N","575","Y","AQUA PA LAKE LATONKA WTP","SHARON","16146","PA","","","","","Not Reported","Mercer","PA"
"9233","PA6430061","PINE TWP WATER DISTR SYSTEM","Y","PA","3","","","A","","CWS",NA,"GW","L","3082","State","GWP","Y","N","N","537","Y","PINE TWP WATER DISTR SYSTEM","GROVE CITY","16127","PA","","","","","Not Reported","Mercer","PA"
"9234","PA6430063","COUNTRY CORNER RV PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","50","State","GW","Y","N","N","123","Y","COUNTRY CORNER RV PARK","COCHRANTON","16314","PA","","","","","Not Reported","Mercer","PA"
"9235","PA6430064","COUNTRY VILLAGE MOBILE ESTATES","Y","PA","3","","","A","","CWS",NA,"GW","P","97","State","GW","Y","N","N","48","Y","COUNTRY VILLAGE MOBILE ESTATES","JAMESTOWN","16134","PA","","","","","Not Reported","Crawford","PA"
"9236","PA6430070","FARMA MOBILE HOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","65","State","GW","Y","N","N","41","Y","FARMA MOBILE HOME PARK","GREENVILLE","16125","PA","","","","","Not Reported","Mercer","PA"
"9237","PA6430072","HEMLOCK MHP","Y","PA","3","","","A","","CWS",NA,"GW","P","52","State","GW","Y","N","N","20","Y","HEMLOCK MHP","THORNDALE","19372","PA","","","","","Not Reported","Mercer","PA"
"9238","PA6430073","GREYSTONE COUNTRY ESTATES","Y","PA","3","","","A","","CWS",NA,"GW","S","55","State","GW","Y","N","N","4","Y","GREYSTONE COUNTRY ESTATES","FREDONIA","16124","PA","","","","","Not Reported","Mercer","PA"
"9241","PA6430074","SUMMIT ESTATES","Y","PA","3","","","A","","CWS",NA,"GW","P","65","State","GW","Y","N","N","30","Y","SUMMIT ESTATES","SAXONBURG","16056","PA","","","","","Not Reported","Mercer","PA"
"9251","NC0467235","K & C RENTALS","N","NC","4","","","I","28-MAR-02","CWS",NA,"GW","P","50","State","GW","N","N","N","20","Y","","PITTSBURGH","15234","PA","","","","","JACKSONVILLE","Onslow","NC"
"9258","PA6250017","LOVETTS MOBILE HOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","78","State","GW","Y","N","N","30","Y","LOVETTS MOBILE HOME PARK","CORRY","16407","PA","","","","","Not Reported","Erie","PA"
"9259","PA6250018","EDINBORO MH VILLAGE SOUTH","Y","PA","3","","","A","","CWS",NA,"GW","P","70","State","GW","Y","N","N","53","Y","EDINBORO MH VILLAGE SOUTH","EDINBORO","16412","PA","","","","","Not Reported","Erie","PA"
"9260","PA6250019","EDINBORO MH VILLAGE NORTH","Y","PA","3","","","A","","CWS",NA,"GW","P","3","State","GW","Y","N","N","21","Y","EDINBORO MH VILLAGE NORTH","EDINBORO","16412","PA","","","","","Not Reported","Erie","PA"
"9261","PA6250020","MAJESTIC HEIGHTS","Y","PA","3","","","A","","CWS",NA,"GW","P","70","State","GW","Y","N","N","42","Y","MAJESTIC HEIGHTS","NEWVILLE","17241","PA","","","","","Not Reported","Erie","PA"
"9262","PA6250021","WINDSOR MOBILEHOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","70","State","GW","Y","N","N","30","Y","WINDSOR MOBILEHOME PARK","EDINBORO","16412","PA","","","","","Not Reported","Erie","PA"
"9263","PA6250022","EDINBORO WATER AUTHORITY","Y","PA","3","","","A","","CWS",NA,"GW","L","7800","State","GW","Y","N","N","1600","Y","EDINBORO WATER AUTHORITY","EDINBORO","16412","PA","","","","","Not Reported","Erie","PA"
"9264","PA6250023","SUNNY ACRES MOBILEHOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","60","State","GW","Y","N","N","31","Y","SUNNY ACRES MOBILEHOME PARK","ERIE","16511","PA","","","","","Not Reported","Erie","PA"
"9265","PA6250028","ERIE CITY WATER AUTHORITY","Y","PA","3","","","A","","CWS",NA,"SW","L","220001","State","SW","Y","N","N","60000","Y","ERIE CITY WATER AUTHORITY","ERIE","16507","PA","","","","","Not Reported","Erie","PA"
"9289","PA4600012","MIFFLINBURG BORO WATER DEPT","Y","PA","3","","","A","","CWS",NA,"SW","L","3690","State","SW","Y","N","N","1463","Y","MIFFLINBURG BORO WATER DEPT","MIFFLINBURG","17844","PA","","","","","Not Reported","Union","PA"
